timestamp,open,high,low,close,volume
1767225600,1.0010000000,1.0030020000,0.9977968000,0.9997988000,1000
1767225900,1.0020010000,1.0040050020,0.9991953972,1.0011993992,1001
1767226200,1.0030030010,1.0050090070,1.0005957938,1.0026017998,1002
1767226500,1.0040060040,1.0060140160,1.0019979920,1.0040060040,1003
1767226800,1.0050100100,1.0074220340,1.0029999900,1.0054120140,1004
1767227100,1.0060150200,1.0088318621,1.0040029900,1.0068198320,1005
1767227400,1.0070210350,1.0102435023,1.0050069930,1.0082294603,1006
1767227700,1.0080280561,1.0100441122,1.0048023663,1.0068184224,1007
1767228000,1.0090360841,1.0110541563,1.0062107831,1.0082288553,1008
1767228300,1.0100451202,1.0120652105,1.0076210119,1.0096411022,1009
1767228600,1.0110551653,1.0130772757,1.0090330550,1.0110551653,1010
1767228900,1.0120662205,1.0144951794,1.0100420881,1.0124710470,1011
1767229200,1.0130782867,1.0159149059,1.0110521301,1.0138887493,1012
1767229500,1.0140913650,1.0173364574,1.0120631823,1.0153082746,1013
1767229800,1.0151054564,1.0171356673,1.0118571189,1.0138873298,1014
1767230100,1.0161205618,1.0181528029,1.0132754243,1.0153076654,1015
1767230400,1.0171366824,1.0191709558,1.0146955543,1.0167298277,1016
1767230700,1.0181538191,1.0201901267,1.0161175114,1.0181538191,1017
1767231000,1.0191719729,1.0216179856,1.0171336289,1.0195796417,1018
1767231300,1.0201911449,1.0230476801,1.0181507626,1.0210072978,1019
1767231600,1.0212113360,1.0244792123,1.0191689133,1.0224367896,1020
1767231900,1.0222325473,1.0242770124,1.0189614032,1.0210058683,1021
1767232200,1.0232547799,1.0253012894,1.0203896665,1.0224361761,1022
1767232500,1.0242780347,1.0263265907,1.0218197674,1.0238683235,1023
1767232800,1.0253023127,1.0273529173,1.0232517081,1.0253023127,1024
1767233100,1.0263276150,1.0287908013,1.0242749598,1.0267381461,1025
1767233400,1.0273539426,1.0302305337,1.0252992347,1.0281758258,1026
1767233700,1.0283812966,1.0316721167,1.0263245340,1.0296153541,1027
1767234000,1.0294096779,1.0314684972,1.0261155669,1.0281743863,1028
1767234300,1.0304390875,1.0324999657,1.0275538581,1.0296147363,1029
1767234600,1.0314695266,1.0335324657,1.0289939998,1.0310569388,1030
1767234900,1.0325009962,1.0345659982,1.0304359942,1.0325009962,1031
1767235200,1.0335334972,1.0360139776,1.0314664302,1.0339469106,1032
1767235500,1.0345670307,1.0374638183,1.0324978966,1.0353946843,1033
1767235800,1.0356015977,1.0389155228,1.0335303945,1.0368443196,1034
1767236100,1.0366371993,1.0387104737,1.0333199602,1.0353932346,1035
1767236400,1.0376738365,1.0397491842,1.0347683497,1.0368436974,1036
1767236700,1.0387115103,1.0407889333,1.0362186027,1.0382960257,1037
1767237000,1.0397502218,1.0418297223,1.0376707214,1.0397502218,1038
1767237300,1.0407899721,1.0432878680,1.0387083921,1.0412062880,1039
1767237600,1.0418307620,1.0447478882,1.0397471005,1.0426642266,1040
1767237900,1.0428725928,1.0462097851,1.0407868476,1.0441240399,1041
1767238200,1.0439154654,1.0460032963,1.0405749359,1.0426627668,1042
1767238500,1.0449593808,1.0470492996,1.0420334946,1.0441234133,1043
1767238800,1.0460043402,1.0480963489,1.0434939298,1.0455859385,1044
1767239100,1.0470503446,1.0491444453,1.0449562439,1.0470503446,1045
1767239400,1.0480973949,1.0506128287,1.0460012001,1.0485166339,1046
1767239700,1.0491454923,1.0520830997,1.0470472013,1.0499848087,1047
1767240000,1.0501946378,1.0535552606,1.0480942485,1.0514548714,1048
1767240300,1.0512448324,1.0533473221,1.0478808490,1.0499833386,1049
1767240600,1.0522960773,1.0544006694,1.0493496483,1.0514542404,1050
1767240900,1.0533483733,1.0554550701,1.0508203372,1.0529270340,1051
1767241200,1.0544017217,1.0565105252,1.0522929183,1.0544017217,1052
1767241500,1.0554561234,1.0579892181,1.0533452112,1.0558783059,1053
1767241800,1.0565115796,1.0594698120,1.0543985564,1.0573567888,1054
1767242100,1.0575680911,1.0609523090,1.0554529550,1.0588371729,1055
1767242400,1.0586256592,1.0607429106,1.0552380571,1.0573553084,1056
1767242700,1.0596842849,1.0618036535,1.0567171689,1.0588365375,1057
1767243000,1.0607439692,1.0628654571,1.0581981837,1.0603196716,1058
1767243300,1.0618047131,1.0639283226,1.0596811037,1.0618047131,1059
1767243600,1.0628665179,1.0654173975,1.0607407848,1.0632916645,1060
1767243900,1.0639293844,1.0669083867,1.0618015256,1.0647805279,1061
1767244200,1.0649933138,1.0684012924,1.0628633271,1.0662713057,1062
1767244500,1.0660583071,1.0681904237,1.0626469205,1.0647790371,1063
1767244800,1.0671243654,1.0692586141,1.0641364172,1.0662706659,1064
1767245100,1.0681914897,1.0703278727,1.0656278302,1.0677642132,1065
1767245400,1.0692596812,1.0713982006,1.0671211619,1.0692596812,1066
1767245700,1.0703289409,1.0728977304,1.0681882830,1.0707570725,1067
1767246000,1.0713992699,1.0743991878,1.0692564713,1.0722563893,1068
1767246300,1.0724706691,1.0759025753,1.0703257278,1.0737576339,1069
1767246600,1.0735431398,1.0756902261,1.0701078018,1.0722548880,1070
1767246900,1.0746166829,1.0767659163,1.0716077562,1.0737569896,1071
1767247200,1.0756912996,1.0778426822,1.0731096405,1.0752610231,1072
1767247500,1.0767669909,1.0789205249,1.0746134569,1.0767669909,1073
1767247800,1.0778437579,1.0804305829,1.0756880704,1.0782748954,1074
1767248100,1.0789216017,1.0819425822,1.0767637585,1.0797847390,1075
1767248400,1.0800005233,1.0834565249,1.0778405222,1.0812965239,1076
1767248700,1.0810805238,1.0832426848,1.0776210661,1.0797832272,1077
1767249000,1.0821616043,1.0843259275,1.0791315518,1.0812958750,1078
1767249300,1.0832437659,1.0854102535,1.0806439809,1.0828104684,1079
1767249600,1.0843270097,1.0864956637,1.0821583557,1.0843270097,1080
1767249900,1.0854113367,1.0880163239,1.0832405140,1.0858455012,1081
1767250200,1.0864967480,1.0895389389,1.0843237545,1.0873659454,1082
1767250500,1.0875832448,1.0910635112,1.0854080783,1.0888883447,1083
1767250800,1.0886708280,1.0908481697,1.0851870814,1.0873644230,1084
1767251100,1.0897594989,1.0919390179,1.0867081723,1.0888876913,1085
1767251400,1.0908492584,1.0930309569,1.0882312201,1.0904129187,1086
1767251700,1.0919401076,1.0941239878,1.0897562274,1.0919401076,1087
1767252000,1.0930320477,1.0956553246,1.0908459836,1.0934692605,1088
1767252300,1.0941250798,1.0971886300,1.0919368296,1.0950003798,1089
1767252600,1.0952192048,1.0987239063,1.0930287664,1.0965334679,1090
1767252900,1.0963144241,1.0985070529,1.0928062179,1.0949988467,1091
1767253200,1.0974107385,1.0996055600,1.0943379884,1.0965328099,1092
1767253500,1.0985081492,1.1007051655,1.0958717297,1.0980687460,1093
1767253800,1.0996066574,1.1018058707,1.0974074441,1.0996066574,1094
1767254100,1.1007062640,1.1033479591,1.0985048515,1.1011465465,1095
1767254400,1.1018069703,1.1048920298,1.0996033563,1.1026884159,1096
1767254700,1.1029087773,1.1064380853,1.1007029597,1.1042322678,1097
1767255000,1.1040116860,1.1062197094,1.1004788486,1.1026868720,1098
1767255300,1.1051156977,1.1073259291,1.1020213738,1.1042316052,1099
1767255600,1.1062208134,1.1084332550,1.1035658835,1.1057783251,1100
1767255900,1.1073270342,1.1095416883,1.1051123802,1.1073270342,1101
1767256200,1.1084343613,1.1110946037,1.1062174925,1.1088777350,1102
1767256500,1.1095427956,1.1126495155,1.1073237100,1.1104304299,1103
1767256800,1.1106523384,1.1142064259,1.1084310337,1.1119851212,1104
1767257100,1.1117629908,1.1139865167,1.1082053492,1.1104288752,1105
1767257400,1.1128747538,1.1151005033,1.1097587044,1.1119844539,1106
1767257700,1.1139876285,1.1162156038,1.1113140582,1.1135420335,1107
1767258000,1.1151016161,1.1173318194,1.1128714129,1.1151016161,1108
1767258300,1.1162167178,1.1188956379,1.1139842843,1.1166632044,1109
1767258600,1.1173329345,1.1204614667,1.1150982686,1.1182268008,1110
1767258900,1.1184502674,1.1220293083,1.1162133669,1.1197924077,1111
1767259200,1.1195687177,1.1218078551,1.1159860978,1.1182252352,1112
1767259500,1.1206882864,1.1229296630,1.1175503592,1.1197917358,1113
1767259800,1.1218089747,1.1240525926,1.1191166331,1.1213602511,1114
1767260100,1.1229307836,1.1251766452,1.1206849221,1.1229307836,1115
1767260400,1.1240537144,1.1267514433,1.1218056070,1.1245033359,1116
1767260700,1.1251777681,1.1283282659,1.1229274126,1.1260779104,1117
1767261000,1.1263029459,1.1299071153,1.1240503400,1.1276545095,1118
1767261300,1.1274292489,1.1296841074,1.1238214753,1.1260763338,1119
1767261600,1.1285566781,1.1308137915,1.1253967194,1.1276538328,1120
1767261900,1.1296852348,1.1319446053,1.1269739902,1.1292333607,1121
1767262200,1.1308149200,1.1330765499,1.1285532902,1.1308149200,1122
1767262500,1.1319457349,1.1346624047,1.1296818435,1.1323985132,1123
1767262800,1.1330776807,1.1362502982,1.1308115253,1.1339841428,1124
1767263100,1.1342107584,1.1378402328,1.1319423368,1.1355718113,1125
1767263400,1.1353449691,1.1376156591,1.1317118652,1.1339825552,1126
1767263700,1.1364803141,1.1387532747,1.1332981692,1.1355711298,1127
1767264000,1.1376167944,1.1398920280,1.1348865141,1.1371617477,1128
1767264300,1.1387544112,1.1410319200,1.1364769024,1.1387544112,1129
1767264600,1.1398931656,1.1426289092,1.1376133793,1.1403491229,1130
1767264900,1.1410330588,1.1442279513,1.1387509927,1.1419458852,1131
1767265200,1.1421740918,1.1458290489,1.1398897436,1.1435447007,1132
1767265500,1.1433162659,1.1456028985,1.1396576539,1.1419442864,1133
1767265800,1.1444595822,1.1467485014,1.1412550954,1.1435440145,1134
1767266100,1.1456040418,1.1478952499,1.1428545921,1.1451458002,1135
1767266400,1.1467496458,1.1490431451,1.1444561465,1.1467496458,1136
1767266700,1.1478963955,1.1506513468,1.1456006027,1.1483555540,1137
1767267000,1.1490442919,1.1522616159,1.1467462033,1.1499635273,1138
1767267300,1.1501933361,1.1538739548,1.1478929495,1.1515735681,1139
1767267600,1.1513435295,1.1536462165,1.1476592302,1.1499619172,1140
1767267900,1.1524948730,1.1547998628,1.1492678874,1.1515728771,1141
1767268200,1.1536473679,1.1559546626,1.1508786142,1.1531859089,1142
1767268500,1.1548010153,1.1571106173,1.1524914132,1.1548010153,1143
1767268800,1.1559558163,1.1587301102,1.1536439046,1.1564181986,1144
1767269100,1.1571117721,1.1603516850,1.1547975485,1.1580374615,1145
1767269400,1.1582688839,1.1619753443,1.1559523461,1.1596588065,1146
1767269700,1.1594271527,1.1617460070,1.1557169859,1.1580358402,1147
1767270000,1.1605865799,1.1629077531,1.1573369375,1.1596581106,1148
1767270300,1.1617471665,1.1640706608,1.1589589733,1.1612824676,1149
1767270600,1.1629089136,1.1652347315,1.1605830958,1.1629089136,1150
1767270900,1.1640718226,1.1668655949,1.1617436789,1.1645374513,1151
1767271200,1.1652358944,1.1684985549,1.1629054226,1.1661680831,1152
1767271500,1.1664011303,1.1701336139,1.1640683280,1.1678008116,1153
1767271800,1.1675675314,1.1699026665,1.1638313153,1.1661664504,1154
1767272100,1.1687350989,1.1710725691,1.1654626407,1.1678001109,1155
1767272400,1.1699038340,1.1722436417,1.1670960648,1.1694358725,1156
1767272700,1.1710737379,1.1734158853,1.1687315904,1.1710737379,1157
1767273000,1.1722448116,1.1750581991,1.1699003220,1.1727137095,1158
1767273300,1.1734170564,1.1767026242,1.1710702223,1.1743557901,1159
1767273600,1.1745904735,1.1783491630,1.1722412925,1.1759999820,1160
1767273900,1.1757650639,1.1781165941,1.1720026157,1.1743541459,1161
1767274200,1.1769408290,1.1792947107,1.1736453947,1.1759992763,1162
1767274500,1.1781177698,1.1804740054,1.1752902872,1.1776465227,1163
1767274800,1.1792958876,1.1816544794,1.1769372958,1.1792958876,1164
1767275100,1.1804751835,1.1833083239,1.1781142331,1.1809473736,1165
1767275400,1.1816556587,1.1849642945,1.1792923474,1.1826009832,1166
1767275700,1.1828373143,1.1866223937,1.1804716397,1.1842567191,1167
1767276000,1.1840201516,1.1863881920,1.1802312872,1.1825993275,1168
1767276300,1.1852041718,1.1875745801,1.1818856001,1.1842560085,1169
1767276600,1.1863893760,1.1887621547,1.1835420415,1.1859148202,1170
1767276900,1.1875757653,1.1899509169,1.1852006138,1.1875757653,1171
1767277200,1.1887633411,1.1916163731,1.1863858144,1.1892388465,1172
